mbs,tp,dp,pp,node placement,partition,estimated time (step/s),pipeline time,DP all-reduce time,embedding layer all-reduce time,price_per_step
2,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",1.1315264701843262,1.0993620418129455,0.0,0.03216448053717613,0.02278033093582259
2,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",1.1315624713897705,1.0993980431256185,0.0,0.03216448053717613,0.022781055726091064
2,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2]",1.1315624713897705,1.0993980431256185,0.0,0.03216448053717613,0.022781055726091064
2,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 2]",1.133446455001831,1.1012820433942563,0.0,0.03216448053717613,0.02281898481682936
2,1,1,32.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",1.133446455001831,1.1012820433942565,0.0,0.03216448053717613,0.02281898481682936
2,1,1,32.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2]",1.1343103647232056,1.1021459400653837,0.0,0.03216448053717613,0.01429735197491116
2,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[9, 7, 9, 6, 3, 5, 5, 6]",1.1460928916931152,1.0158032576554417,0.00163168809376657,0.12865792214870453,0.02307358779835701
2,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[9, 7, 9, 7, 4, 3, 5, 6]",1.1474518775939941,1.0171622573865058,0.00163168809376657,0.12865792214870453,0.023100947431008018
2,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[9, 7, 9, 7, 4, 5, 3, 6]",1.1492398977279663,1.0189502588940265,0.00163168809376657,0.12865792214870453,0.02313694454768631
2,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[9, 7, 9, 5, 4, 5, 5, 6]",1.1498188972473145,1.019529258660257,0.00163168809376657,0.12865792214870453,0.023148601191176305
2,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[9, 7, 9, 7, 4, 5, 5, 4]",1.1544479131698608,1.0241582585034372,0.00163168809376657,0.12865792214870453,0.02324179433990187
2,1,4,8.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[10, 6, 9, 7, 4, 4, 4, 6]",1.1577996015548706,1.0273562581745388,0.001785392058081925,0.12865792214870453,0.02330927183390326
2,1,4,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[8, 6, 4, 7, 8, 5, 5, 7]",1.1605792045593262,1.0304432620295287,0.0014779840130358934,0.12865792214870453,0.023365231882545683
1,1,8,4.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[11, 14, 13, 12]",1.177635669708252,0.7775042603025213,0.2714734375476837,0.12865792214870453,0.014843443374633789
1,1,8,4.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[11, 14, 13, 12]",1.177635669708252,0.777504260340035,0.2714734375476837,0.12865792214870453,0.023708619271993636
2,1,4,8.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[8, 8, 9, 6, 4, 4, 5, 6]",1.1873912811279297,1.0305812578299083,0.02815207652747631,0.12865792214870453,0.014966407436794704
1,1,8,4.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[13, 12, 11, 14]",1.2395367622375488,0.796368260695815,0.3145105540752411,0.12865792214870453,0.024954836139440533
1,1,8,4.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[13, 12, 11, 14]",1.2395367622375488,0.796368260695815,0.3145105540752411,0.12865792214870453,0.024954836139440533
1,1,8,4.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[13, 12, 15, 10]",1.2493977546691895,0.8062292632647752,0.3145105540752411,0.12865792214870453,0.025153361473904713
1,1,8,4.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[13, 12, 15, 10]",1.2493977546691895,0.8062292632647752,0.3145105540752411,0.12865792214870453,0.025153361473904713
1,1,8,4.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[15, 10, 13, 12]",1.271824836730957,0.7856192621869444,0.35754767060279846,0.12865792214870453,0.025604872211615243
1,1,8,4.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[15, 10, 13, 12]",1.271824836730957,0.7856192621869444,0.35754767060279846,0.12865792214870453,0.025604872211615243
1,2,1,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.2893041372299194,1.2732218502145445,0.0,0.016082240268588066,0.025956772286766103
1,2,1,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.3099676370620728,1.2938853287330925,0.0,0.016082240268588066,0.026372777901192503
1,2,1,16.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.3101056814193726,1.2940233763500215,0.0,0.016082240268588066,0.02637555706387758
1,2,1,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.310496211051941,1.2944139069139124,0.0,0.016082240268588066,0.026383419358313082
1,2,1,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.3107486963272095,1.2946663898608743,0.0,0.016082240268588066,0.026388502490063505
1,2,1,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.313286542892456,1.2972042928875522,0.0,0.016082240268588066,0.026439595404055383
1,2,1,16.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.3135696649551392,1.2974873678020298,0.0,0.016082240268588066,0.02644529532752434
1,2,1,16.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3]",1.3296928405761719,1.3136106013553217,0.0,0.016082240268588066,0.016760039537217882
2,1,8,4.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[11, 14, 13, 12]",1.3589106798171997,0.9587793309849502,0.2714734375476837,0.12865792214870453,0.027358118271344236
2,1,8,4.0,"['g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[11, 14, 13, 12]",1.3607556819915771,0.9606243309099226,0.2714734375476837,0.12865792214870453,0.017151569396124944
1,2,2,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge']","[7, 5, 6, 7, 7, 6, 6, 6]",1.3737351894378662,1.3404198323773837,0.0011508907191455364,0.03216448053717613,0.02765657106411457
1,2,2,8.0,"['p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[7, 5, 6, 7, 7, 5, 6, 7]",1.3866313695907593,1.3533160842412233,0.0011508907191455364,0.03216448053717613,0.02791620197813378
1,2,2,8.0,"['p4d.24xlarge', 'g5.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge', 'p4d.24xlarge']","[7, 6, 5, 7, 7, 5, 6, 7]",1.3870526552200317,1.3537373659155434,0.0011508907191455364,0.03216448053717613,0.027924683464255595
